GT,SPVAE,body,all parts,5040,10240,20000
0.327,4.01E-01,3.47E-01,3.60E-01,0.35915494,0.350556105,0.345456213
0.461,4.24E-01,4.43E-01,4.56E-01,0.467849255,0.472823471,0.46875906
0.39,3.98E-01,4.23E-01,4.01E-01,0.409855634,0.393040329,0.394242495
0.409,3.93E-01,3.86E-01,3.94E-01,0.421043694,0.409460902,0.407463312
0.278,3.76E-01,3.37E-01,3.29E-01,0.317459673,0.310462475,0.309085608
0.378,3.81E-01,3.94E-01,3.80E-01,0.382715434,0.382925689,0.378439695
0.413,4.12E-01,4.01E-01,4.11E-01,0.418860465,0.403120935,0.416629434
0.299,3.60E-01,3.26E-01,3.25E-01,0.337484568,0.331561655,0.321741432
0.435,4.04E-01,4.27E-01,4.29E-01,0.437013149,0.43423894,0.43885529
0.484,4.19E-01,4.35E-01,4.57E-01,0.47770375,0.472524881,0.478455365
0.429,4.09E-01,3.83E-01,4.23E-01,0.402161777,0.412051797,0.421484351
0.468,4.34E-01,4.39E-01,4.45E-01,0.459478289,0.477019548,0.471584022
0.441,4.19E-01,4.29E-01,4.36E-01,0.423125684,0.425737888,0.432718337
0.482,3.98E-01,4.46E-01,4.56E-01,0.475865126,0.471908122,0.482445478
0.345,3.59E-01,3.60E-01,3.61E-01,0.353168994,0.343200266,0.346118867
0.367,3.85E-01,3.75E-01,3.76E-01,0.378955513,0.37585336,0.38216877
0.355,3.74E-01,3.75E-01,3.76E-01,0.37325117,0.367865562,0.372692555
0.388,3.69E-01,3.87E-01,3.85E-01,0.379039943,0.380163372,0.388994366
0.328,3.83E-01,3.45E-01,3.54E-01,0.345120281,0.348962456,0.352963269
0.417,4.30E-01,4.10E-01,4.35E-01,0.431079865,0.427831411,0.422991902
0.419,4.16E-01,4.16E-01,4.21E-01,0.422920913,0.423791915,0.421015382
0.503,4.61E-01,4.59E-01,4.78E-01,0.489075392,0.489211589,0.48962909
0.321,3.67E-01,3.42E-01,3.48E-01,0.34098047,0.343698919,0.335598946
0.437,3.95E-01,4.17E-01,4.26E-01,0.428289473,0.424722224,0.428745687
0.338,3.74E-01,3.79E-01,3.65E-01,0.350934654,0.346100301,0.343753129
0.385,4.03E-01,3.88E-01,3.93E-01,0.38515234,0.388930172,0.389989197
0.337,3.66E-01,3.59E-01,3.59E-01,0.351879597,0.339368135,0.336615384
